,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI4577_SECTORNone,0.1992890661391296,5.017836750270435,0.009470311323035,-0.282633493598266,2392.0742941146823,0.9992528591553764,0.0003496595877686,0.0058762642424958,0.0294861346702959,0.0002472466656181,0.0010440533877653,0.0262878920548297,0.0387815641573948
TOI1773_SECTORNone,0.1,10.0,5.440716338266314e-05,0.4451130901672416,1865.990233601785,0.999995372728134,2.0723112232669143e-06,0.0060620431998636,0.0606204319986361,1.4653453187010246e-06,,,0.0386115408603163
TOI1893_SECTORNone,2.0559892413659595,0.4863838681060506,0.0001378067336036,0.388901193955325,1764.4965536415891,1.0000089970703716,5.809505096120057e-06,0.0067094794919395,0.0032633825882677,4.107940448804298e-06,0.0013454214395745,0.0003182853639731,0.0385501526233771
TOI2197_SECTORNone,0.2641850111632609,3.785226101953304,0.0001943914946996,-0.4550588917925763,2038.006409624034,1.0000229866277193,7.598608042566455e-06,0.0062212394243949,0.0235487978557206,5.373027274477379e-06,0.0012237451047306,0.0175337423276505,0.0385449605693638
TOI1951_SECTORNone,0.4113202475170676,2.4311956584595444,0.0002759502236522,-0.3189611907577639,2362.5495335559253,1.000031523277063,1.020527498453542e-05,0.0058859164450161,0.0143098145071789,7.216219145438434e-06,0.0010564528876031,0.0062443891085166,0.0383406274001328
TOI0134_SECTORNone,0.1860855561619412,5.37387221569066,0.0002146734591448,0.3065813899020665,1323.6532258891648,0.9999882565674084,7.86999495978276e-06,0.0058346691060323,0.0313547661966561,5.56492680396634e-06,0.0009572141043103,0.0276429099910594,0.0380292232044457
TOI0219_SECTORNone,0.4479106169775266,2.232588293503598,0.0015087605632172,0.2060925439583921,1324.834612291254,1.0001433241037958,5.61891088457456e-05,0.0059272323513411,0.0132330695604799,3.9731699893655736e-05,0.0010099757645832,0.0050341741929374,0.0379595212643316
TOI2429_SECTORNone,0.1,10.0,0.0002383312794488,0.46090586043983,1406.2991434076605,1.00004395660434,9.038573689538228e-06,0.0060358576705377,0.0603585767053774,6.391236748126792e-06,,,0.0377992112612037
TOI1012_SECTORNone,1.1328190477729154,0.882753518283407,0.0001263744816029,0.1965694706180217,2228.91624194255,0.999991888625818,4.954542508817428e-06,0.0062397085316233,0.0055081246593534,3.503390605661813e-06,0.0011630518549514,0.0009063125473771,0.0372118186863712
TOI4554_SECTORNone,0.1321853829647999,7.565132978933786,0.0002466016343393,-0.0463476171804993,1599.388004368091,0.9999703833620064,1.0046603129871802e-05,0.0064840062949513,0.0490523698575508,7.104021201022343e-06,0.0011614885582779,0.0664734269387613,0.0371978831905143
TOI0625_SECTORNone,0.1640172251451656,6.096920607667498,0.0002444198399103,0.2410953053006295,2227.607080536989,1.0000634108480302,9.787118163712748e-06,0.0063729206064079,0.0388551909762372,6.920537621835315e-06,0.00139985877668,0.0520361676391661,0.0368792399697157
TOI0593_SECTORNone,0.1,10.0,0.0003480326574921,0.239010215243961,2226.68940763831,1.0000292848203212,1.4230822926135394e-05,0.006507739329062,0.06507739329062,1.0062711392935324e-05,,,0.0368401523967431
TOI0201_SECTORNone,0.2936803593456593,3.4050625728873083,0.0001356548436144,-0.1504897377704503,1325.80724807921,0.9999952769726972,5.093307793916613e-06,0.0059756444406397,0.0203474432337046,3.601512479748732e-06,0.0011827474268509,0.0137133072341716,0.0368346469252746
